timestamp,catalogue_cpu_cfs_periods_total,catalogue_cpu_cfs_throttled,catalogue_cpu_usage,catalogue_mem_usage,catalogue_net_rx_byte,catalogue_net_rx_drop,catalogue_net_rx_error,catalogue_net_tx_byte,catalogue_net_tx_drop,catalogue_net_tx_error,compute1_CPU_utilization,compute1_disk_read,compute1_disk_utilization,compute1_disk_write,compute1_load_average,compute1_mem_utilization,compute1_net_rx_drop_eno1,compute1_net_rx_drop_eno2,compute1_net_rx_eno1,compute1_net_rx_eno2,compute1_net_rx_err_eno1,compute1_net_rx_err_eno2,compute1_net_tx_drop_eno1,compute1_net_tx_drop_eno2,compute1_net_tx_eno1,compute1_net_tx_eno2,compute1_net_tx_err_eno1,compute1_net_tx_err_eno2,compute1_temp_cel,compute2_CPU_utilization,compute2_disk_read,compute2_disk_utilization,compute2_disk_write,compute2_load_average,compute2_mem_utilization,compute2_net_rx_drop_eno1,compute2_net_rx_drop_eno2,compute2_net_rx_eno1,compute2_net_rx_eno2,compute2_net_rx_err_eno1,compute2_net_rx_err_eno2,compute2_net_tx_drop_eno1,compute2_net_tx_drop_eno2,compute2_net_tx_eno1,compute2_net_tx_eno2,compute2_net_tx_err_eno1,compute2_net_tx_err_eno2,compute2_temp_cel,front-end_cpu_cfs_periods_total,front-end_cpu_cfs_throttled,front-end_cpu_usage,front-end_mem_usage,front-end_net_rx_byte,front-end_net_rx_drop,front-end_net_rx_error,front-end_net_tx_byte,front-end_net_tx_drop,front-end_net_tx_error,incoming_success_rate,label,latency,orders_cpu_cfs_periods_total,orders_cpu_cfs_throttled,orders_cpu_usage,orders_mem_usage,orders_net_rx_byte,orders_net_rx_drop,orders_net_rx_error,orders_net_tx_byte,orders_net_tx_drop,orders_net_tx_error,payment_cpu_cfs_periods_total,payment_cpu_cfs_throttled,payment_cpu_usage,payment_mem_usage,payment_net_rx_byte,payment_net_rx_drop,payment_net_rx_error,payment_net_tx_byte,payment_net_tx_drop,payment_net_tx_error,queue-master_cpu_cfs_periods_total,queue-master_cpu_cfs_throttled,queue-master_cpu_usage,queue-master_mem_usage,queue-master_net_rx_byte,queue-master_net_rx_drop,queue-master_net_rx_error,queue-master_net_tx_byte,queue-master_net_tx_drop,queue-master_net_tx_error,request_per_second,shipping_cpu_cfs_periods_total,shipping_cpu_cfs_throttled,shipping_cpu_usage,shipping_mem_usage,shipping_net_rx_byte,shipping_net_rx_drop,shipping_net_rx_error,shipping_net_tx_byte,shipping_net_tx_drop,shipping_net_tx_error,vm_1_CPU_utilization,vm_1_disk_read,vm_1_disk_utilization,vm_1_disk_write,vm_1_load_average,vm_1_mem_utilization,vm_1_net_rx,vm_1_net_rx_drop,vm_1_net_rx_err,vm_1_net_tx,vm_1_net_tx_drop,vm_1_net_tx_err,vm_2_CPU_utilization,vm_2_disk_read,vm_2_disk_utilaization,vm_2_disk_write,vm_2_load_average,vm_2_mem_utilization,vm_2_net_rx,vm_2_net_rx_drop,vm_2_net_rx_err,vm_2_net_tx,vm_2_net_tx_drop,vm_2_net_tx_err,vm_3_CPU_utilization,vm_3_disk_read,vm_3_disk_utilaization,vm_3_disk_write,vm_3_load_average,vm_3_mem_utilization,vm_3_net_rx,vm_3_net_rx_drop,vm_3_net_rx_err,vm_3_net_tx,vm_3_net_tx_drop,vm_3_net_tx_err
11:44:26 12/02/22 KST,1.8456,0.7018,11.7161,0,1.3309,0,0,138.8952,0,0,6.2992,0,2.9798,283.1111,3.525,14.4261,0,0,1.5424,585.1285,0,0,0,0,4.7883,364.9125,0,0,38.4048,12.27,0,8.114,195.7333,12.3125,25.9414,0,0,0.9945,39.147,0,0,0,0,4.6552,480.9293,0,0,41.881,7.6642,5.8279,69.2098,0.4469,11.0369,0,0,497.0183,0,0,1,0,0.3968,8.3975,0,2.2426,0,1.1209,0,0,88.0017,0,0,2.0536,0.6986,11.5482,0.0001,6.975,0,0,110.5389,0,0,8.2626,0,2.933,0,4.0151,0,0,127.7599,0,0,57.989,7.4834,0,2.9639,0,0.95,0,0,86.621,0,0,10.5523,0,6.272,242.1618,10.2109,7.5306,0.5158,0,0,13.5246,0,0,35.1428,0,7.8008,118.0291,54.1042,9.6775,0.777,0,0,9.9952,0,0,2.2003,0,12.6711,0,1.375,3.4815,1.0117,0,0,14.7033,0,0
11:44:38 12/02/22 KST,1.8456,0.6954,11.5119,0,1.2995,0,0,129.6605,0,0,6.1369,0,2.9798,421.8667,3.7375,14.4254,0,0,1.9003,579.5778,0,0,0,0,5.2811,386.2972,0,0,38.3333,12.3439,0,8.114,213.7778,12.15,25.8976,0,0,1.717,40.3792,0,0,0,0,5.2799,498.9386,0,0,42.3333,9.6621,7.2115,87.1306,0.4822,11.4767,0,0,480.0649,0,0,1,0,0.4825,6.6587,0,1.7221,0,1.0947,0,0,85.2184,0,0,2.3922,0.9569,14.8299,0.0001,1.2995,0,0,115.2337,0,0,6.6363,0.13,4.4401,0,4.1845,0,0,134.0206,0,0,54.4,8.0933,0,3.2096,0,0.9606,0,0,92.3491,0,0,10.2335,0,6.2731,249.9105,10.2969,7.6211,0.5151,0,0,13.506,0,0,35.0447,0,7.801,103.2,57.0833,9.6938,0.7921,0,0,10.4851,0,0,4.7158,0,12.6711,0,1.3906,3.4879,0.9821,0,0,14.251,0,0
11:44:50 12/02/22 KST,1.888,0.7231,12.0283,0,1.3248,0,0,132.7474,0,0,6.2428,9.0667,2.9798,292.9778,3.8,14.4576,0,0,0.8613,581.0356,0,0,0,0,4.6453,398.0743,0,0,38.4524,12.3792,0,8.114,152.4444,11.9875,25.9154,0,0,1.6614,40.2403,0,0,0,0,5.4103,496.7333,0,0,41.5476,9.7808,7.6954,88.8976,0.4312,12.2211,0,0,509.451,0,0,1,0,0.4406,8.4972,0,2.2393,0,0.6603,0,0,53.9737,0,0,2.3834,0.908,14.2077,0,1.3016,0,0,108.8214,0,0,8.5823,0.1854,5.0769,0,4.4234,0,0,142.7516,0,0,59.13,6.8425,0,2.7124,0,0.9751,0,0,91.4561,0,0,7.2048,5.0909,6.2743,155.5273,10.125,7.625,0.5328,0,0,13.9688,0,0,35.0958,0,7.8011,79.9273,59.1667,9.6949,0.7921,0,0,10.4832,0,0,4.5626,0,12.6711,0,1.4219,3.482,0.9832,0,0,14.2853,0,0
11:45:01 12/02/22 KST,1.5859,0.7046,10.8325,0,1.3106,0,0,132.022,0,0,6.3411,9.0667,2.9798,426.4,3.7875,14.466,0,0,1.942,581.3259,0,0,0,0,5.2643,417.3406,0,0,38.2381,12.3792,0,8.114,152.4444,11.9875,25.9154,0,0,1.6614,40.2403,0,0,0,0,5.4103,496.7333,0,0,41.5476,9.8355,7.9831,90.3928,0.2321,12.5954,0,0,515.4906,0,0,1,0,0.2493,8.4426,0,2.2201,0,1.0933,0,0,88.0584,0,0,2.5139,1.073,16.9019,0.0001,1.2371,0,0,102.8968,0,0,8.5009,0.222,5.6616,0,4.3354,0,0,141.4384,0,0,49.944,7.8301,0,3.2084,0,0.7684,0,0,70.7751,0,0,10.3182,5.1501,6.2752,247.8101,10.1406,7.4978,0.5141,0,0,13.473,0,0,36.8616,0,7.8012,70.641,62.0417,9.6923,0.7664,0,0,9.9772,0,0,2.2493,0,12.6711,0,1.375,3.4779,1.0109,0,0,14.697,0,0
11:45:15 12/02/22 KST,2.0444,0.8673,14.3876,0,1.1378,0,0,115.2406,0,0,6.3411,9.0667,2.9798,426.4,3.7875,14.466,0,0,1.942,581.3259,0,0,0,0,5.2643,417.3406,0,0,38.2381,12.1875,0,8.114,198.9333,11.6875,25.9137,0,0,1.7881,40.3565,0,0,0,0,5.2939,497.8998,0,0,41.6905,9.9258,7.8327,90.7401,0.4452,12.5172,0,0,547.4863,0,0,1,0,0.235,8.3824,0,2.1277,0,0.9461,0,0,82.7035,0,0,2.3306,0.9323,15.2381,0,1.2598,0,0,103.4625,0,0,8.5375,0.1465,4.7798,0,4.183,0,0,136.0555,0,0,50.8,6.5492,0,2.8002,0,0.7535,0,0,69.3665,0,0,10.1236,5.1229,6.2764,249.5077,10.25,7.5539,0.5114,0,0,13.3967,0,0,35.1383,0,7.8014,75.7818,63.8333,9.6928,0.7921,0,0,10.4861,0,0,1.8017,0,12.6711,0,1.375,3.477,1,0,0,14.695,0,0
11:45:26 12/02/22 KST,2.0229,0.8182,14.1449,0,1.3151,0,0,133.9645,0,0,6.3483,9.0667,2.9798,295.7333,3.8625,14.4648,0,0,1.6062,578.8237,0,0,0,0,4.8155,407.8505,0,0,38.3333,12.21,0,8.114,152.2667,11.3625,25.95,0,0,0.8411,43.6533,0,0,0,0,4.5209,496.7123,0,0,41.4762,9.8612,7.4776,89.5993,0.3377,11.7609,0,0,512.8769,0,0,1,0,0.393,6.7995,0,1.6322,0,1.0679,0,0,86.3836,0,0,2.2938,0.9576,15.6162,0,1.1991,0,0,96.8716,0,0,8.4621,0.7218,10.3645,0,4.0122,0,0,130.3325,0,0,47.2,8.0611,0.1636,5.2289,0,0.8936,0,0,80.6097,0,0,10.4397,5.1498,6.2775,198.0317,11.4297,7.6555,0.5141,0,0,13.4707,0,0,36.8876,0,7.8015,56.2866,62.9583,9.6842,0.7621,0,0,10.2764,0,0,1.6767,0,12.6711,0,1.3438,3.4778,0.9874,0,0,14.6916,0,0
11:45:38 12/02/22 KST,2.3887,1.2051,16.1849,0,1.3288,0,0,136.5827,0,0,6.5933,2.8444,2.9798,439.3778,3.8125,14.3953,0,0,1.9409,581.396,0,0,0,0,5.3038,374.4326,0,0,38.2857,12.2444,0,8.114,180.1778,11.7875,25.9605,0,0,1.4804,43.4149,0,0,0,0,5.087,496.6539,0,0,42.4524,9.8513,6.8418,84.8826,0.2109,10.6263,0,0,479.5375,0,0,1,0,0.095,8.4127,0.127,3.7663,0,0.8348,0,0,68.5235,0,0,2.3693,1.0225,15.7588,0,0.825,0,0,65.967,0,0,6.3708,0.803,10.2753,0,3.9726,0,0,128.3831,0,0,41.8,7.9878,0.1437,4.8689,0,0.7077,0,0,65.0767,0,0,10.1456,0,6.2787,254.6688,11.8438,7.6646,0.5164,0,0,13.5344,0,0,37.2046,0,7.8027,62.5829,60.8333,9.6737,0.7702,0,0,10.46,0,0,4.5145,0,12.6711,0,1.2969,3.4783,0.9585,0,0,14.2808,0,0
11:45:50 12/02/22 KST,2.4366,1.3266,16.3013,0,1.302,0,0,129.3762,0,0,6.4658,2.8444,2.9798,309.6,3.875,14.3975,0,0,0.838,578.5695,0,0,0,0,4.6831,338.1973,0,0,38.6429,12.3578,0,8.114,226.3111,11.6625,25.9599,0,0,1.4379,43.7547,0,0,0,0,5.2211,498.2607,0,0,42.0476,9.7671,5.9161,81.2362,0.3862,9.7951,0,0,456.1264,0,0,1,0,0.2917,8.1744,0.0856,3.2888,0,0.9031,0,0,76.9446,0,0,2.4646,1.0954,16.0558,0,1.2811,0,0,103.3083,0,0,8.4719,1.0069,13.1391,0,4.005,0,0,130.8705,0,0,38.8,8.1255,0.1982,5.5072,0,0.9468,0,0,91.951,0,0,7.6233,0,6.2798,153.5273,11.6172,7.5076,0.5328,0,0,13.963,0,0,34.911,0,7.8028,115.0545,59.375,9.6744,0.7734,0,0,10.3259,0,0,4.531,0,12.6711,0,1.2891,3.4785,0.9665,0,0,14.36,0,0
11:46:02 12/02/22 KST,2.2654,1.2981,15.3835,0,1.298,0,0,132.0556,0,0,6.5222,2.8444,2.9798,454.8444,3.8875,14.422,0,0,1.94,563.6759,0,0,0,0,5.2989,308.2977,0,0,38.6905,12.3578,0,8.114,226.3111,11.6625,25.9599,0,0,1.4379,43.7547,0,0,0,0,5.2211,498.2607,0,0,42.0476,9.7672,5.5169,78.3706,0.2956,7.9848,0,0,387.3999,0,0,1,0,0.8909,8.1603,0.0917,3.4182,0,1.0768,0,0,90.3507,0,0,1.45,0.6,8.3534,0,1.2431,0,0,101.4723,0,0,8.4047,0.6534,9.6849,0,4.2247,0,0,137.6162,0,0,41.792,7.5549,0,3.1067,0,0.7881,0,0,72.6483,0,0,10.3074,0,6.2807,251.2605,11.6172,7.5989,0.5138,0,0,13.4644,0,0,36.4999,0,7.8029,107.6032,58.0417,9.6699,0.7607,0,0,10.2681,0,0,2.2967,0,12.6711,0,1.3438,3.4775,0.9967,0,0,14.7584,0,0
11:46:13 12/02/22 KST,1.2567,0.6282,9.1559,0,1.2914,0,0,130.5137,0,0,6.27,0,2.9798,304.6222,4.35,14.4245,0,0,1.5096,576.3572,0,0,0,0,4.7157,334.0898,0,0,38.5476,12.0628,0,8.114,227.0222,11.3125,25.9571,0,0,1.7079,40.0282,0,0,0,0,5.2359,499.3486,0,0,41.9048,8.1796,5.426,70.0669,0.2945,9.4961,0,0,450.9496,0,0,1,0,0.4466,7.8102,0,2.1189,0,0.8627,0,0,75.865,0,0,2.4368,0.9747,14.1634,0,1.2915,0,0,105.3294,0,0,8.2687,0,3.1605,0,4.1571,0,0,135.3069,0,0,57,7.8382,1.2838,16.8506,0.0001,0.7734,0,0,71.2533,0,0,11.1774,0,6.2818,257.3885,11.5469,7.6535,0.5197,0,0,13.7847,0,0,34.5136,0,7.8031,97.8909,56.3333,9.6761,0.7804,0,0,10.2498,0,0,4.6862,0,12.6711,0,1.2969,3.4771,0.9744,0,0,14.2818,0,0
11:46:25 12/02/22 KST,1.668,0.8037,11.4914,0,1.3186,0,0,138.1825,0,0,6.27,0,2.9798,304.6222,4.35,14.4245,0,0,1.5096,576.3572,0,0,0,0,4.7157,334.0898,0,0,38.5476,11.9697,0,8.114,223.6444,11,25.9976,0,0,0.974,40.0136,0,0,0,0,4.6182,496.5048,0,0,42.4048,9.8067,6.9336,85.6788,0.2496,9.8903,0,0,459.0902,0,0,1,0,0.4209,8.005,0,1.9783,0,1.0149,0,0,83.6413,0,0,2.4348,0.9458,14.1712,0,1.2837,0,0,109.4154,0,0,8.3453,0,3.1918,0,4.3773,0,0,140.9806,0,0,54.2,8.1758,2.1294,24.0175,0.0001,0.9356,0,0,81.5063,0,0,7.1257,0,6.283,160.4727,11.3984,7.6597,0.5328,0,0,13.9592,0,0,34.553,0,7.8032,104.4364,55.0417,9.6764,0.7936,0,0,10.4891,0,0,4.7254,0,12.6711,0,1.2422,3.477,0.9768,0,0,14.3182,0,0
